"LAT","LONG","REGION","SECTION","LOC","POOL","LOCATION_NAME"
53.1387,-128.5,"CENTRAL COAST","065","379","2","Aaltanhash Inlt"
52.5483,-128.816,"CENTRAL COAST","067","1862","3","Abrams Is"
53.8472,-130.606,"PRINCE RUPERT DISTRICT","052","350","3","Absalom Is"
48.8667,-123.3,"STRAIT OF GEORGIA","181","1013","*","Active Pass"
54.095,-130.4,"PRINCE RUPERT DISTRICT","043","1452","1","Ada Is"
51.6,-127.85,"CENTRAL COAST","091","579","*","Addenbroke Is"
49.442,-126.24,"WEST COAST VANCOUVER IS","243","1215","3","Adventure Pt"
52.36,-128.4,"CENTRAL COAST","072","1917","3","Agnes Pt"
50.8992,-125.629,"JOHNSTONE STRAIT","127","751","1","Ahnuhati Pt"
49.2833,-126.067,"WEST COAST VANCOUVER IS","244","1426","2","Ahousat"
53.5467,-129.917,"PRINCE RUPERT DISTRICT","053","315","1","Ala Pass"
52.1183,-128.11,"CENTRAL COAST","073","444","*","Alarm Cv"
48.3833,-123.483,"STRAIT OF GEORGIA","193","1061","*","Albert Hd"
50.005,-124.825,"STRAIT OF GEORGIA","152","1793","1","Albion Pt"
52.4458,-131.246,"HAIDA GWAII","021","1553","6","Alder Is"
52.4405,-131.324,"HAIDA GWAII","021","1738","6","Alder Is Cr"
50.5833,-126.933,"JOHNSTONE STRAIT","121","673","0","Alert Bay"
52.6333,-128.617,"CENTRAL COAST","067","389","*","Alexander Inlt"
54.05,-132.55,"HAIDA GWAII","012","1361","1","Alexandra Nrws"
52.8517,-131.867,"HAIDA GWAII","024","1588","1","Alford Pt"
52.85,-131.725,"HAIDA GWAII","024","1897","3","Alfred Pt"
55.4621,-129.486,"PRINCE RUPERT DISTRICT","032","1638","3","Alice Arm"
51.4437,-127.324,"CENTRAL COAST","092","628","3","Allard Bay"
53.2,-132,"HAIDA GWAII","022","101","2","Alliford Bay"
51.04,-127.5,"JOHNSTONE STRAIT","111","663","1","Allison Hrbr"
53.6872,-132.967,"HAIDA GWAII","002","1866","1","Alured Pt"
50.0252,-127.083,"WEST COAST VANCOUVER IS","261","1289","2","Amai (Deep) Inlt"
50.0144,-127.35,"WEST COAST VANCOUVER IS","262","1295","2","Amos Is"
48.92,-125.54,"WEST COAST VANCOUVER IS","232","1146","4","Amphitrite Pt"
51.2807,-127.636,"CENTRAL COAST","102","1435","1","Anchor Bight"
50.3091,-127.809,"WEST COAST VANCOUVER IS","272","1314","2","Anchorage Is"
0,0,"WEST COAST VANCOUVER IS","231","1161","0","Anchorage Is +"
49.5167,-124.133,"STRAIT OF GEORGIA","163","897","0","Anderson Bay"
48.365,-123.65,"STRAIT OF GEORGIA","202","1084","2","Anderson Cv"
49.65,-126.467,"WEST COAST VANCOUVER IS","252","1238","*","Anderson Pt"
53.5167,-129.933,"PRINCE RUPERT DISTRICT","053","323","*","Anger Is"
48.825,-123.38,"STRAIT OF GEORGIA","181","1053","3","Annette Inlt"
48.8334,-123.4,"STRAIT OF GEORGIA","181","1682","3","Annette Pt"
52.1,-131.217,"HAIDA GWAII","006","1400","*","Anthony Is"
53.2,-132.233,"HAIDA GWAII","022","102","*","Anthracite Pt"
49.4167,-126.467,"WEST COAST VANCOUVER IS","242","1603","1","Antons Spit"
50.6056,-127.656,"WEST COAST VANCOUVER IS","274","1323","1","Apple Bay"
52.5167,-129.033,"CENTRAL COAST","067","1804","5","Archer Islets"
52.1873,-128.118,"CENTRAL COAST","074","513","3","Ardmillan Bay"
52.4717,-131.342,"HAIDA GWAII","021","3077","6","Arichika Is"
52.52,-129.062,"CENTRAL COAST","067","1735","4","Arriaga Is"
50.7167,-126.65,"JOHNSTONE STRAIT","125","1387","*","Arrow Pass"
54.065,-130.6,"PRINCE RUPERT DISTRICT","043","271","1","Arthur Pass"
52.16,-128.472,"CENTRAL COAST","074","1477","2","Athlone Is"
53.6333,-132.983,"HAIDA GWAII","002","68","*","Athlow Bay"
48.8833,-123.467,"STRAIT OF GEORGIA","173","1518","*","Atkins Rf"
50.0098,-127.325,"WEST COAST VANCOUVER IS","262","1298","3","Atkis Is"
49.3733,-126.056,"WEST COAST VANCOUVER IS","244","1633","1","Atlea Rvr +"
52.7113,-131.656,"HAIDA GWAII","024","133","2","Atli Inlt"
49.9121,-124.637,"STRAIT OF GEORGIA","152","858","2","Atrevida Rf"
53.6533,-132.533,"HAIDA GWAII","011","55","2","Awun Bay"
50.9354,-125.554,"JOHNSTONE STRAIT","127","1611","1","Axe Pt"
52.3477,-131.358,"HAIDA GWAII","025","170","1","Bag Hrbr"
54.0258,-132.592,"HAIDA GWAII","012","1575","1","Bain Pt"
49.6287,-126.82,"WEST COAST VANCOUVER IS","252","1472","1","Bajo Pt"
49.5,-127,"WEST COAST VANCOUVER IS","259","1522","*","Bajo Rf"
53.8167,-129.9,"PRINCE RUPERT DISTRICT","051","318","*","Baker Inlt"
52.2817,-128.367,"CENTRAL COAST","072","469","1","Balagny Pass"
