"CENTROID_LAT","CENTROID_LONG","SECTION","SECTION_NAME","CUM_SPAWN_IND","RANK","REGION"
49.5488,"-124.750","142","BAYNES SOUND",1.31e+08,1,"STRAIT OF GEORGIA"
49.3684,"-124.464","143","QUALICUM",82376382,2,"STRAIT OF GEORGIA"
54.4341,"-130.455","042","AREA 4 NORTH",69619136,3,"PRINCE RUPERT DISTRICT"
49.0442,"-123.750","173","YELLOW POINT",49227347,4,"STRAIT OF GEORGIA"
48.9755,"-125.380","232","MACOAH PASS",40884774,5,"WEST COAST VANCOUVER IS"
49.241,"-124.048","172","NANOOSE BAY",39447843,6,"STRAIT OF GEORGIA"
53.8882,"-130.607","052","KITKATLA INLET",30682113,7,"PRINCE RUPERT DISTRICT"
52.5332,"-128.797","067","LAREDO SOUND",29802695,8,"CENTRAL COAST"
49.8179,"-126.960","253","ESPERANZA INLET",27379880,9,"WEST COAST VANCOUVER IS"
49.9036,"-124.649","152","POWELL RIVER",21666529,10,"STRAIT OF GEORGIA"
52.3202,"-131.274","025","SKINCUTTLE INLET",21321420,11,"HAIDA GWAII"
50.5148,"-128.020","273","FORWARD INLET",20019287,12,"WEST COAST VANCOUVER IS"
52.157,"-128.347","074","THOMPSON BAY",15769852,13,"CENTRAL COAST"
49.2133,"-125.928","245","VARGAS ISLAND",15611727,14,"WEST COAST VANCOUVER IS"
52.3177,"-128.305","072","POWELL ANCHORAGE",15080287,15,"CENTRAL COAST"
52.4357,"-131.367","021","JUAN PEREZ SOUND",13716002,16,"HAIDA GWAII"
49.0229,"-123.008","293","BOUNDARY BAY",13246434,17,"STRAIT OF GEORGIA"
54.0812,"-130.446","043","AREA 4 SOUTH",11724552,18,"PRINCE RUPERT DISTRICT"
49.7513,"-124.933","141","OTHER AREA 14",11699880,19,"STRAIT OF GEORGIA"
51.6725,"-127.919","085","KWAKSHUA CHANNEL",8887145,20,"CENTRAL COAST"
54.5689,"-130.428","033","PORT SIMPSON",7841152,21,"PRINCE RUPERT DISTRICT"
52.8631,"-131.844","024","LASKEEK BAY",7383989,22,"HAIDA GWAII"
